"Name","Instance Count","Size (bytes)"
"java.lang.invoke.BoundMethodHandle$Species_LLJ",51,2448
"java.util.ImmutableCollections$SetN$SetNIterator",51,1224
"java.util.concurrent.atomic.AtomicIntegerArray",51,816
"org.springframework.beans.factory.config.BeanDefinitionHolder",51,1224
"java.lang.ClassValue$Entry",50,1600
"java.lang.invoke.InvokerBytecodeGenerator",50,3200
"org.springframework.core.annotation.TypeMappedAnnotations$MergedAnnotationFinder",50,1600
"org.springframework.util.ConcurrentReferenceHashMap$Segment$$Lambda.0x0000000800181d20",50,1600
"javax.management.openmbean.OpenMBeanAttributeInfoSupport",49,3136
"org.springframework.core.SerializableTypeWrapper$TypeProxyInvocationHandler",49,784
"java.net.Inet4Address",48,1152
"org.springframework.format.support.FormattingConversionService$ParserConverter",47,1128
"org.springframework.format.support.FormattingConversionService$PrinterConverter",47,1504
"sun.reflect.generics.tree.TypeVariableSignature",46,736
"java.io.ByteArrayOutputStream",45,1080
"java.util.StringJoiner",45,1800
"java.util.concurrent.ConcurrentHashMap$ValuesView",45,720
"java.util.logging.LogManager$LoggerContext$1",45,1080
"org.springframework.util.ConcurrentReferenceHashMap",45,1800
"org.springframework.util.ConcurrentReferenceHashMap$Segment[ ]",45,3600
"com.sun.management.internal.DiagnosticCommandArgumentInfo[ ]",44,1136
"com.sun.management.internal.DiagnosticCommandImpl$Wrapper",44,1408
"com.sun.management.internal.DiagnosticCommandInfo",44,2112
"java.io.ByteArrayInputStream",44,1408
"java.lang.Thread$FieldHolder",44,1760
"java.util.concurrent.ConcurrentHashMap$KeySetView",44,1056
"java.util.concurrent.atomic.AtomicReference",44,704
"org.springframework.core.annotation.AnnotationTypeMappings$$Lambda.0x00000008001a2fc0",44,704
"org.springframework.core.annotation.AnnotationTypeMappings$Cache$$Lambda.0x00000008001a3200",44,1056
"com.jprofiler.agent.q$a",43,1032
"java.lang.invoke.BoundMethodHandle$Species_LJ",43,2064
"java.util.PropertyPermission",43,1376
"jdk.proxy2.$Proxy32",43,688
"org.springframework.core.$Proxy6",43,688
"org.springframework.core.io.UrlResource",43,1032
"org.springframework.http.MediaType",43,1376
"java.io.File",41,1312
"java.lang.invoke.VarHandle$AccessDescriptor",41,1640
"java.time.format.DateTimeFormatterBuilder$CompositePrinterParser",41,984
"java.time.format.DateTimeFormatterBuilder$DateTimePrinterParser[ ]",41,1304
"java.util.LinkedHashMap$LinkedValueIterator",41,1312
"java.lang.PublicMethods",40,960
"java.lang.management.ManagementPermission",40,960
"java.security.PermissionsHash",40,960
"java.util.Comparator$$Lambda.0x0000000800457158",40,640
"java.util.concurrent.atomic.AtomicLongArray",40,640
"javax.management.MBeanPermission",40,1600
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader",40,3520
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper",40,3200
"jdk.proxy2.$Proxy16",40,640
"org.springframework.core.convert.support.ObjectToStringConverter",40,640
"java.io.ClassCache$CacheRef",39,1872
"jdk.proxy2.$Proxy12",39,624
"java.math.BigInteger[ ]",38,1184
"java.security.MessageDigest$Delegate$CloneableDelegate",38,1216
"java.util.Collections$1",38,912
"sun.security.provider.SHA",38,2128
"java.util.stream.ReferencePipeline$3",37,2072
"java.util.stream.ReferencePipeline$3$1",37,888
"javax.management.MBeanNotificationInfo[ ]",37,824
"sun.security.jca.GetInstance$Instance",37,888
"com.jprofiler.agent.probe.structures.h",36,1440
"com.jprofiler.agent.util.f",36,1152
"com.sun.jmx.remote.util.OrderClassLoaders",36,3168
"java.rmi.MarshalledObject",36,1152
"java.rmi.MarshalledObject$MarshalledObjectInputStream",36,2592
"java.util.Spliterators$ArraySpliterator",36,1440
"java.util.regex.Pattern$$Lambda.0x0000000800109210",36,576
"java.util.stream.Collectors$CollectorImpl",36,1152
"java.util.stream.ReduceOps$3",36,1152
"java.util.stream.ReduceOps$3ReducingSink",36,1152
"javax.management.remote.rmi.RMIConnectionImpl$6",36,864
"javax.management.remote.rmi.RMIConnectionImpl$7",36,864
"org.springframework.boot.web.server.MimeMappings$Mapping",36,864
"com.fasterxml.jackson.databind.MapperFeature",35,1400
"jdk.proxy2.$Proxy44",35,560
"com.jprofiler.agent.probe.structures.MetaDataImpl",34,2720
"java.lang.invoke.LambdaFormBuffer",34,1632
"java.time.format.DateTimeFormatterBuilder$NumberPrinterParser",34,1088
"java.util.ResourceBundle$BundleReference",34,1360
"java.util.ResourceBundle$CacheKey",34,2448
"jdk.internal.reflect.Label$PatchInfo",34,816
"java.lang.invoke.LambdaFormEditor$Transform[ ]",33,1072
"java.time.Duration",33,792
"java.time.temporal.ValueRange",33,1584
